id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
3042075	Violet Channel	Violet Channel	Violet Channel	49.15	-1.95	H	CHN	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042076	Violet Bank	Violet Bank	Banc De Violet,Violet Bank	49.15	-2.03333	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042077	Vinchelez de Haut Manor	Vinchelez de Haut Manor	Le Manoir de Vinchelez de Haut,Vinchelez de Haut	49.24475	-2.21851	P	PPL	JE	GB	0				0		88	Europe/Jersey	2016-02-18
3042078	Vinchelez de Bas Manor	Vinchelez de Bas Manor	Le Manoir de Vinchelez de Bas,Vinchelez de Bas	49.24643	-2.21705	P	PPL	JE	GB	0				0		87	Europe/Jersey	2016-02-29
3042079	Ville des Quennevais	Ville des Quennevais	La Ville des Quennevais,Ville des Quennevais,Ville des Quenvais,Ville es Quenvais,Ville ès Quenvais	49.20194	-2.20028	P	PPL	JE		0				0		71	Europe/Jersey	2012-01-18
3042080	Vicard Point	Vicard Point	Vicard,Vicard Point	49.24806	-2.085	T	PT	JE		0				0		-2	Europe/Jersey	2012-01-18
3042081	Verclut Point	Verclut Point	Verclut Point	49.22444	-2.02028	T	PT	JE		0				0		5	Europe/Jersey	2012-01-18
3042082	Vallée des Vaux	Vallee des Vaux	Val des Vaux,Vallee des Vaux,Valley des Vaux,Vallée des Vaux	49.2	-2.1	H	STM	JE		0				0		60	Europe/Jersey	2020-06-10
3042083	Tour de Rozel	Tour de Rozel	La Tour de Rozel,Rozel Tower,Tour de Rozel	49.24333	-2.05194	T	PT	JE		0				0		4	Europe/Jersey	2012-01-18
3042084	Sorel Point	Sorel Point	Sorel,Sorel Point	49.26139	-2.16056	T	PT	JE		0				0		-1	Europe/Jersey	2012-01-18
3042085	Six Rues	Six Rues	Six Rues	49.23333	-2.15	P	PPL	JE		0				0		97	Europe/Jersey	2012-01-18
3042086	Saint Peter’s Church	Saint Peter's Church	Saint Peter,Saint Peter Church,Saint Peter's,Saint Peter's Church,Saint Peter’s,Saint Peter’s Church,St. Peter's Church,St. Peter’s Church	49.21245	-2.1846	S	CH	JE	GB	3237221				0		87	Europe/Jersey	2021-02-20
3042087	Saint Ouen’s Pond	Saint Ouen's Pond	La Mare au Seigneur,Saint Ouen's Pond,Saint Ouen’s Pond,St. Ouen's Pond,St. Ouen’s Pond	49.2151	-2.22263	H	LK	JE		0				0		3	Europe/Jersey	2021-02-20
3042088	Saint Ouen’s Bay	Saint Ouen's Bay	La Baie de St. Ouen,La Baie de St. Ouën,Saint Ouen Bay,Saint Ouen's Bay,Saint Ouen’s Bay,St. Ouen's Bay,St. Ouen’s Bay,St. Ouën’s Bay	49.22135	-2.21387	P	PPL	JE	GB	0				0		62	Europe/Jersey	2021-02-20
3042089	Saint John	Saint John	Saint Jean,Saint John,Saint John's,Saint John's Church,Saint John’s,Saint John’s Church,St. John,St. John's Church,St. John’s Church	49.24556	-2.13861	P	PPL	JE	GB	3237497				3051		105	Europe/Jersey	2022-07-30
